Feature,value_boruta
Jitter->F0_abs_dif,1
entropy_log_4_coef,1
std_F0_series_F0_expTitze,1
det_TKEO_mean_8_coef,1
DFA,1
MFCC_0th coef,1
Jitter->pitch_PQ5_classical_Schoentgen,1
MFCC_1st coef,1
MFCC_2nd coef,1
MFCC_3rd coef,1
entropy_shannon_5_coef,1
Jitter->F0_TKEO_prc5,1
Jitter->F0_TKEO_prc25,2
HNR->HNR_dB_Praat_mean,2
Jitter->F0_PQ5_classical_Schoentgen,2
Jitter->pitch_percent,2
entropy_log_5_coef,2
det_TKEO_std_10_coef,2
entropy_shannon_10_coef,2
entropy_log_2_coef,2
det_TKEO_mean_5_coef,2
det_TKEO_std_5_coef,2
Log energy,2
VFER->SNR_SEO,2
F0_series_F0_expTitze,3
Jitter->F0_dif_percent,3
IMF->NSR_SEO,3
Jitter->F0_abs0th_perturb,3
VFER->SNR_TKEO1,3
prc95_5_F0_series_F0_expTitze,6
IMF->NSR_entropy,6
entropy_shannon_9_coef,8
det_TKEO_std_9_coef,9
det_TKEO_std_6_coef,9
GNE->mean,11
MFCC_4th coef,12
Ed_5_coef,13
HNR->HNR_dB_Praat_std,14
NHR->NHR_Praat_std,15
VFER->SNR_TKEO,16
det_TKEO_mean_10_coef,16
Jitter->pitch_abs,18
GNE->NSR_SEO,19
NHR->NHR_Praat_mean,20
entropy_log2_3_coef,21
Ed2_5_coef,22
1st delta,23
Shimmer->Ampl_abs0th_perturb,24
2nd delta,25
Shimmer->Ampl_TKEO_prc25,26
entropy_log_8_coef,27
det_TKEO_std_8_coef,29
9th delta-delta,29
det_TKEO_mean_6_coef,29
det_TKEO_std3_6_coef,31
Shimmer->Ampl_PQ3_classical_Schoentgen,32
MFCC_12th coef,34
12th delta-delta,34
3rd delta,34
Shimmer->Ampl_TKEO_prc75,36
entropy_shannon2_7_coef,37
entropy_shannon3_5_coef,37
MFCC_8th coef,39
Ed_10_coef,40
Shimmer->Ampl_AM,43
entropy_log2_8_coef,43
entropy_log3_10_coef,43
Ed_9_coef,43
entropy_log4_1_coef,43
entropy_shannon2_1_coef,43
delta delta 0th,50
RPDE,50
Shimmer->Ampl_PQ5_classical_Schoentgen,50
entropy_shannon_7_coef,50
entropy_log4_2_coef,50
Shimmer->Ampl_PQ11_classical_Baken,50
Ed_7_coef,50
VFER->entropy,54
GNE->std,54
Ed_2_coef,73
entropy_shannon_2_coef,73
det_TKEO_mean3_7_coef,73
det_TKEO_mean3_5_coef,73
entropy_log2_2_coef,73
12th delta,73
entropy_shannon_8_coef,73
2nd delta-delta,73
entropy_shannon_1_coef,73
entropy_shannon2_10_coef,73
entropy_shannon2_5_coef,73
entropy_shannon2_3_coef,73
Ed_6_coef,73
det_TKEO_std_7_coef,73
det_TKEO_std_4_coef,73
det_TKEO_std_3_coef,73
10th delta-delta,73
det_TKEO_mean_7_coef,73
entropy_shannon3_3_coef,73
entropy_log_6_coef,73
entropy_shannon2_4_coef,73
det_TKEO_mean_9_coef,73
det_TKEO_mean3_10_coef,73
det_TKEO_std3_7_coef,73
Jitter->F0_TKEO_prc95,73
Jitter->F0_TKEO_mean,73
0th delta,73
