Feature,rank_mi,rank_RFE,rank_embed,value_min,value_med,value_mean,value_harmo
X12671,1,758,1789,1,758.0,849.3333333333334,2.9943758653151864
M26383,2,6,7,2,6.0,5.0,3.7058823529411766
U32519,3,1085,548,3,548.0,545.3333333333334,8.926451135068952
M16937,4,25,1091,4,25.0,373.3333333333333,10.312234159866412
M22382,5,5,4,4,5.0,4.666666666666667,4.615384615384615
H23544,6,1351,127,6,127.0,494.6666666666667,17.11538696001552
T51849,7,874,1980,7,874.0,953.6666666666666,20.760332202607486
J05032,8,8,580,8,8.0,198.66666666666666,11.917808219178083
X62048,9,1221,728,9,728.0,652.6666666666666,26.47750237470337
X73902,10,524,588,10,524.0,374.0,28.954991980753807
R87126,11,1,3,1,3.0,5.0,2.1063829787234045
D14812,12,660,1775,12,660.0,815.6666666666666,35.12392564461323
M63391,13,3,2,2,3.0,6.0,3.295774647887324
H24030,14,1062,1572,14,1062.0,882.6666666666666,41.09233095397166
T96873,15,1493,442,15,442.0,650.0,43.10412798959547
D43950,16,1451,421,16,421.0,629.3333333333334,45.75648502004454
M36634,17,215,964,17,215.0,398.6666666666667,46.5029498070857
H08393,18,2,10,2,10.0,10.0,4.576271186440678
U09587,19,1598,372,19,372.0,663.0,53.623584000911556
T95018,20,1975,1323,20,1323.0,1106.0,58.522668946222026
M76378__,21,1034,1586,21,1034.0,880.3333333333334,60.954941284195826
M76378,22,1754,1415,22,1415.0,1063.6666666666667,64.19668541025572
J02854,23,697,240,23,240.0,320.0,61.12513305548348
H43887,24,1239,5,5,24.0,422.6666666666667,12.372472330864609
R38758,25,641,152,25,152.0,272.6666666666667,62.31952036978603
T61602,26,1955,1365,26,1365.0,1115.3333333333333,75.55600122690701
T60155,27,338,1248,27,338.0,537.6666666666666,73.53500083934867
U21090,28,969,606,28,606.0,534.3333333333334,78.13223847403987
M76378_,29,44,1082,29,44.0,385.0,51.60469462510279
X63629,30,7,6,6,7.0,14.333333333333334,8.75
X60489,31,414,935,31,414.0,460.0,83.93241923111897
D43947,32,1157,698,32,698.0,629.0,89.42685703607839
H77536,33,759,208,33,208.0,333.3333333333333,82.35367762128327
T86473,34,1423,1638,34,1423.0,1031.6666666666667,97.64033893126259
R64115,35,715,249,35,249.0,333.0,88.27139652933538
R49459,36,51,818,36,51.0,301.6666666666667,61.71808991534479
T60778,37,1297,635,37,635.0,656.3333333333334,102.13516907446157
T52343,38,376,1230,38,376.0,548.0,100.71043804488184
T61609,39,1970,1319,39,1319.0,1109.3333333333333,111.4960202823852
U26648,40,827,57,40,57.0,308.0,68.56664929271871
T52642,41,203,1038,41,203.0,427.3333333333333,99.07613677631453
U26312,42,733,226,42,226.0,333.6666666666667,101.35628544790616
T86281,43,439,925,43,439.0,469.0,112.71924161927325
R73052,44,287,1210,44,287.0,513.6666666666666,110.95478992491613
H40095,45,4,9,4,9.0,19.333333333333332,7.82608695652174
T57468,46,1431,664,46,664.0,713.6666666666666,125.29252384492342
R96909,47,861,22,22,47.0,310.0,44.1874493324289
T68098,48,1667,502,48,502.0,739.0,128.0669623974171
Z49269,49,1128,1602,49,1128.0,926.3333333333334,136.86813346482373
H77348,50,491,1174,50,491.0,571.6666666666666,131.07048223088628
U09564,51,1619,8,8,51.0,559.3333333333334,20.65752796338959
M21339,52,316,1198,52,316.0,522.0,129.1430670725307
X56597,53,1151,701,53,701.0,635.0,141.75504609356614
L26050_,54,591,190,54,190.0,278.3333333333333,117.76841205717838
R06601,55,48,850,48,55.0,317.6666666666667,74.64242155449607
H28711,56,712,1812,56,712.0,860.0,151.4118120445299
X55715,57,1926,1274,57,1274.0,1085.6666666666667,159.1680831402468
T54276,58,1030,1588,58,1030.0,892.0,159.2189692327316
U01038,59,1155,699,59,699.0,637.6666666666666,155.88004005537067
T51493,60,9,865,9,60.0,311.3333333333333,23.267745952677462
M15841,61,1281,15,15,61.0,452.3333333333333,35.78212290502793
Z50753,62,264,1129,62,264.0,485.0,144.2123915904917
T83368,63,216,965,63,216.0,414.6666666666667,139.28278232093425
M84721,64,1123,715,64,715.0,634.0,167.46610006550242
