Feature,value_MI
X12671,0.2958973281498660235
M26383,0.2668708851542191951
U32519,0.2662788780474201200
M16937,0.2534074752566626287
M22382,0.2459386797236005062
H23544,0.2349234503210246849
T51849,0.2294204648276516600
J05032,0.2294024273096142430
X62048,0.2281965105414285322
X73902,0.2249721495134617832
R87126,0.2242412425505766471
D14812,0.2197723379924929610
M63391,0.2169137669802447821
H24030,0.2158645456477938929
T96873,0.2142428474535147398
D43950,0.2131812588207686598
M36634,0.2103401035602587843
H08393,0.2095436916865027754
U09587,0.2083669870710129768
T95018,0.1999981638827053043
M76378__,0.1985577481136886480
M76378,0.1982250189091485648
J02854,0.1970840282416308487
H43887,0.1917158011155284392
R38758,0.1909879296209231470
T61602,0.1858677345314379004
T60155,0.1857749112013231674
U21090,0.1844422558882172769
M76378_,0.1843261677881389282
X63629,0.1833859513451960854
X60489,0.1820229010495075794
D43947,0.1814598887929470550
H77536,0.1799373521897653649
T86473,0.1790806306380723356
R64115,0.1778708255264644933
R49459,0.1774520686560949745
T60778,0.1752278683887256161
T52343,0.1742678441508371812
T61609,0.1729870154718764486
U26648,0.1718220356067068355
T52642,0.1712657818246468011
U26312,0.1709423821060855886
T86281,0.1707203595050308387
R73052,0.1702112370025103960
H40095,0.1679084155603673967
T57468,0.1668673129100484154
R96909,0.1662963129938224149
T68098,0.1659848620275976572
Z49269,0.1658086654652615177
H77348,0.1656594929522283710
U09564,0.1649465344475244954
M21339,0.1644169407016120577
X56597,0.1638857067026355807
L26050_,0.1630320162310738841
R06601,0.1622328344852475013
H28711,0.1620096257942968965
X55715,0.1603410227643389252
T54276,0.1580543516777326296
U01038,0.1575805423329554866
T51493,0.1565779541031375732
M15841,0.1552765738999546397
Z50753,0.1550637938484649148
T83368,0.1549435735669544290
M84721,0.1548816971437230183
M64445,0.1539127047941502013
H21532,0.1537422659140339487
X85786,0.1535074872518358280
T47377,0.1529708839425869549
T51499,0.1529664288478742584
R97912,0.1529342030091969118
R27369,0.1527028483423580330
T51560,0.1522619809660068491
D31885,0.1516616946512798769
T51571,0.1516567281639904508
T62947,0.1513143175183435662
L41559,0.1499040210890718594
X17025,0.1494653534421501728
M34175_,0.1494448160520678304
T57686,0.1488147785268691958
U02493,0.1478893374804604033
T57619,0.1475768811196169761
R44418,0.1468048148443352741
R48303,0.1451773518369108285
R08829,0.1444517356557617482
R84411,0.1444474836353804026
L37792,0.1427639521131396361
H77597,0.1426340507044059347
X04828,0.1424373521897650541
R08021,0.1416590327113809167
M27190,0.1415161311781671927
R54097,0.1411801143600719399
U10886,0.1399878926033339965
T71025,0.1398596095120332450
H91274,0.1393793438898216497
L10284,0.1384430937600227285
H30734,0.1381355160330903775
R36977,0.1380229875643002035
X07948,0.1377198474722605148
Z14244,0.1373218583645940960
H08156,0.1363767908872686174
D63874,0.1355441110223305490
U25138,0.1354968962055662640
T55840,0.1354864800374051548
T56244,0.1353398797697122902
T57872,0.1351446672761127399
R42244,0.1348641010681270735
T98835,0.1347510420841004919
T59878,0.1335882744889451690
X89416,0.1329695798187671141
H17897,0.1327437527784238736
H40560,0.1325962109968814584
T84049,0.1321438391236064991
R43936,0.1315107451147821127
M84739,0.1312384256682581629
T65792,0.1304563158847253934
D14663,0.1300451744750070748
X86809,0.1297124584876421238
X02152,0.1296712138899460687
T92451,0.1294942879487690490
T56690,0.1293694099591096158
L40904,0.1292845104078912399
R10066,0.1288626652279816209
H27277,0.1286250891839539889
U30825,0.1276653858048957257
